dataset,model,feature,n,auroc,ci_low,ci_high,auroc_strength
medqa,qwen3-4b,trace_length,740,0.7501,0.7133,0.7877,0.2501
medqa,qwen3-4b,rep_5,740,0.7547,0.7176,0.7902,0.2547
medqa,qwen3-4b,hedging_formal,740,0.6836,0.6379,0.7252,0.1836
medqa,qwen3-4b,hedging_reasoning,740,0.628,0.5807,0.6723,0.128
medqa,qwen3-4b,connector_density,740,0.546,0.5049,0.5963,0.046
medqa,qwen3-4b,trace_divergence,740,0.5188,0.5011,0.5689,0.0188
mmlu_pro,qwen3-4b,trace_length,730,0.6659,0.6257,0.7103,0.1659
mmlu_pro,qwen3-4b,rep_5,730,0.7719,0.7326,0.8119,0.2719
mmlu_pro,qwen3-4b,hedging_formal,730,0.6686,0.6272,0.7075,0.1686
mmlu_pro,qwen3-4b,hedging_reasoning,730,0.6034,0.5527,0.6537,0.1034
mmlu_pro,qwen3-4b,connector_density,730,0.59,0.5374,0.6343,0.09
mmlu_pro,qwen3-4b,trace_divergence,730,0.6187,0.5767,0.6654,0.1187
trivia_qa,qwen3-4b,trace_length,915,0.7744,0.7464,0.8057,0.2744
trivia_qa,qwen3-4b,rep_5,915,0.8003,0.773,0.828,0.3003
trivia_qa,qwen3-4b,hedging_formal,915,0.6501,0.6147,0.6837,0.1501
trivia_qa,qwen3-4b,hedging_reasoning,915,0.7685,0.739,0.8003,0.2685
trivia_qa,qwen3-4b,connector_density,915,0.7501,0.7168,0.7798,0.2501
trivia_qa,qwen3-4b,trace_divergence,915,0.7791,0.7512,0.8105,0.2791
medqa,r1-distill-llama-8b,trace_length,792,0.6598,0.6228,0.6989,0.1598
medqa,r1-distill-llama-8b,rep_5,792,0.6075,0.5721,0.6475,0.1075
medqa,r1-distill-llama-8b,hedging_formal,792,0.6162,0.5779,0.6564,0.1162
medqa,r1-distill-llama-8b,hedging_reasoning,792,0.5746,0.536,0.6163,0.0746
medqa,r1-distill-llama-8b,connector_density,792,0.5458,0.5085,0.5865,0.0458
