dataset,model,feature,cohens_d,mean_correct,mean_incorrect,n_correct,n_incorrect
medqa,qwen3-4b,trace_length,-0.9195,1222.069735,1711.488,565,175
medqa,qwen3-4b,rep_5,-0.8935,0.060113,0.101973,565,175
medqa,qwen3-4b,hedging_formal,-0.6223,0.017794,0.021825,565,175
medqa,qwen3-4b,hedging_reasoning,-0.4233,0.008813,0.010772,565,175
medqa,qwen3-4b,connector_density,0.1946,0.0134,0.012407,565,175
medqa,qwen3-4b,trace_divergence,-0.0662,0.055674,0.05662,565,175
mmlu_pro,qwen3-4b,trace_length,-0.5282,1368.710219,1836.064835,548,182
mmlu_pro,qwen3-4b,rep_5,-1.0041,0.073325,0.145841,548,182
mmlu_pro,qwen3-4b,hedging_formal,-0.582,0.025553,0.034282,548,182
mmlu_pro,qwen3-4b,hedging_reasoning,-0.4375,0.010981,0.013425,548,182
mmlu_pro,qwen3-4b,connector_density,0.286,0.020721,0.018641,548,182
mmlu_pro,qwen3-4b,trace_divergence,-0.3904,0.042945,0.04807,548,182
trivia_qa,qwen3-4b,trace_length,-0.7802,440.079556,726.842796,450,465
trivia_qa,qwen3-4b,rep_5,-0.9895,0.036921,0.103599,450,465
trivia_qa,qwen3-4b,hedging_formal,-0.5199,0.03957,0.045976,450,465
trivia_qa,qwen3-4b,hedging_reasoning,-1.0433,0.017366,0.026846,450,465
trivia_qa,qwen3-4b,connector_density,0.8745,0.014204,0.009737,450,465
trivia_qa,qwen3-4b,trace_divergence,-1.0683,0.05678,0.100481,450,465
medqa,r1-distill-llama-8b,trace_length,-0.5601,1258.738257,1490.634828,413,379
medqa,r1-distill-llama-8b,rep_5,-0.3538,0.019471,0.0255,413,379
medqa,r1-distill-llama-8b,hedging_formal,-0.4105,0.01815,0.020104,413,379
medqa,r1-distill-llama-8b,hedging_reasoning,-0.2749,0.004784,0.005502,413,379
medqa,r1-distill-llama-8b,connector_density,0.1251,0.012576,0.012102,413,379
medqa,r1-distill-llama-8b,trace_divergence,-0.2956,0.081069,0.08679,413,379
mmlu_pro,r1-distill-llama-8b,trace_length,-0.5108,1063.662963,1405.735099,297,302
mmlu_pro,r1-distill-llama-8b,rep_5,-0.5845,0.032532,0.055382,297,302
mmlu_pro,r1-distill-llama-8b,hedging_formal,-0.2121,0.029521,0.032331,297,302
mmlu_pro,r1-distill-llama-8b,hedging_reasoning,-0.16,0.006749,0.007336,297,302
mmlu_pro,r1-distill-llama-8b,connector_density,-0.0136,0.01744,0.017522,297,302
mmlu_pro,r1-distill-llama-8b,trace_divergence,-0.254,0.074091,0.080121,297,302
trivia_qa,r1-distill-llama-8b,trace_length,-0.5351,451.429722,550.049829,360,584
trivia_qa,r1-distill-llama-8b,rep_5,-0.3776,0.011264,0.016932,360,584
trivia_qa,r1-distill-llama-8b,hedging_formal,-0.3566,0.046408,0.050296,360,584
trivia_qa,r1-distill-llama-8b,hedging_reasoning,-0.4294,0.007503,0.009023,360,584
trivia_qa,r1-distill-llama-8b,connector_density,0.4511,0.014736,0.013109,360,584
trivia_qa,r1-distill-llama-8b,trace_divergence,-0.7756,0.095396,0.131266,360,584
mmlu_pro,qwq-32b,trace_length,-0.299,1641.432323,1933.839683,594,63
mmlu_pro,qwq-32b,rep_5,-0.7752,0.026386,0.043185,594,63
mmlu_pro,qwq-32b,hedging_formal,-0.6023,0.023912,0.031654,594,63
mmlu_pro,qwq-32b,hedging_reasoning,-0.3609,0.010435,0.011962,594,63
mmlu_pro,qwq-32b,connector_density,0.0888,0.019493,0.019014,594,63
mmlu_pro,qwq-32b,trace_divergence,-0.3573,0.046519,0.050812,594,63
trivia_qa,qwq-32b,trace_length,-0.7331,633.46369,958.797802,683,273
trivia_qa,qwq-32b,rep_5,-0.6892,0.013289,0.026107,683,273
trivia_qa,qwq-32b,hedging_formal,-0.5696,0.038225,0.043758,683,273
trivia_qa,qwq-32b,hedging_reasoning,-0.9,0.010346,0.016504,683,273
trivia_qa,qwq-32b,connector_density,0.3204,0.011645,0.010384,683,273
trivia_qa,qwq-32b,trace_divergence,-1.0621,0.056029,0.093904,683,273
medqa,qwen3-4b-nothink,trace_length,-0.3754,571.347138,619.976205,594,332
medqa,qwen3-4b-nothink,rep_5,-0.2784,0.016136,0.020613,594,332
medqa,qwen3-4b-nothink,hedging_formal,-0.1938,0.011425,0.012466,594,332
medqa,qwen3-4b-nothink,hedging_reasoning,-0.1527,5.3e-05,9.2e-05,594,332
medqa,qwen3-4b-nothink,connector_density,-0.1307,0.001187,0.001396,594,332
medqa,qwen3-4b-nothink,trace_divergence,-0.3441,0.079788,0.088112,594,332
mmlu_pro,qwen3-4b-nothink,trace_length,-0.4142,531.706355,705.335161,598,310
mmlu_pro,qwen3-4b-nothink,rep_5,-0.3328,0.045912,0.060651,598,310
mmlu_pro,qwen3-4b-nothink,hedging_formal,-0.2796,0.008287,0.010446,598,310
mmlu_pro,qwen3-4b-nothink,hedging_reasoning,-0.1883,0.000181,0.000284,598,310
mmlu_pro,qwen3-4b-nothink,connector_density,-0.1519,0.004355,0.004942,598,310
mmlu_pro,qwen3-4b-nothink,trace_divergence,-0.5065,0.054221,0.066171,598,310
trivia_qa,qwen3-4b-nothink,trace_length,-0.4691,50.022947,67.587304,414,575
trivia_qa,qwen3-4b-nothink,rep_5,-0.317,0.003144,0.007981,414,575
trivia_qa,qwen3-4b-nothink,hedging_formal,-0.0381,0.005211,0.005604,414,575
trivia_qa,qwen3-4b-nothink,hedging_reasoning,-0.2684,5e-05,0.000485,414,575
trivia_qa,qwen3-4b-nothink,connector_density,0.0195,0.001766,0.001672,414,575
trivia_qa,qwen3-4b-nothink,trace_divergence,-1.0998,0.039452,0.098943,414,575
medqa,llama-3.1-8b-instruct,trace_length,-0.3929,401.205836,428.107059,634,340
medqa,llama-3.1-8b-instruct,rep_5,-0.0315,0.020883,0.021378,634,340
medqa,llama-3.1-8b-instruct,hedging_formal,-0.1787,0.015192,0.016263,634,340
medqa,llama-3.1-8b-instruct,hedging_reasoning,-0.1499,0.000111,0.000185,634,340
medqa,llama-3.1-8b-instruct,connector_density,-0.1166,0.001556,0.001794,634,340
medqa,llama-3.1-8b-instruct,trace_divergence,-0.3616,0.109368,0.11924,634,340
mmlu_pro,llama-3.1-8b-instruct,trace_length,-0.2781,336.431298,375.276627,393,338
mmlu_pro,llama-3.1-8b-instruct,rep_5,-0.1348,0.057887,0.063727,393,338
mmlu_pro,llama-3.1-8b-instruct,hedging_formal,-0.2443,0.012122,0.014256,393,338
mmlu_pro,llama-3.1-8b-instruct,hedging_reasoning,-0.0619,0.000294,0.000341,393,338
mmlu_pro,llama-3.1-8b-instruct,connector_density,-0.1468,0.006857,0.007668,393,338
mmlu_pro,llama-3.1-8b-instruct,trace_divergence,-0.3806,0.087959,0.100377,393,338
trivia_qa,llama-3.1-8b-instruct,trace_length,-0.195,190.530273,203.857843,512,306
trivia_qa,llama-3.1-8b-instruct,rep_5,-0.2443,0.011895,0.015599,512,306
trivia_qa,llama-3.1-8b-instruct,hedging_formal,-0.2021,0.014688,0.016311,512,306
trivia_qa,llama-3.1-8b-instruct,hedging_reasoning,-0.0857,0.000339,0.000432,512,306
trivia_qa,llama-3.1-8b-instruct,connector_density,0.0747,0.002156,0.001982,512,306
trivia_qa,llama-3.1-8b-instruct,trace_divergence,-0.5575,0.102992,0.125547,512,306
