dataset,model,feature,n,auroc_full,auroc_without,delta_auroc,ci_low,ci_high
medqa,qwen3-4b,trace_length,740,0.78,0.7803,-0.0003,-0.0093,0.0085
medqa,qwen3-4b,rep_5,740,0.78,0.7652,0.0148,0.0004,0.0294
medqa,qwen3-4b,hedging_formal,740,0.78,0.7634,0.0165,0.0007,0.0326
medqa,qwen3-4b,hedging_reasoning,740,0.78,0.7767,0.0033,-0.0049,0.0126
medqa,qwen3-4b,connector_density,740,0.78,0.778,0.0019,-0.003,0.0068
medqa,qwen3-4b,trace_divergence,740,0.78,0.7802,-0.0003,-0.0022,0.0021
mmlu_pro,qwen3-4b,trace_length,730,0.8168,0.8197,-0.0029,-0.0064,0.0001
mmlu_pro,qwen3-4b,rep_5,730,0.8168,0.7518,0.065,0.0398,0.0901
mmlu_pro,qwen3-4b,hedging_formal,730,0.8168,0.8084,0.0084,-0.0083,0.0239
mmlu_pro,qwen3-4b,hedging_reasoning,730,0.8168,0.8175,-0.0007,-0.003,0.0015
mmlu_pro,qwen3-4b,connector_density,730,0.8168,0.8156,0.0012,-0.0027,0.0049
mmlu_pro,qwen3-4b,trace_divergence,730,0.8168,0.814,0.0028,-0.0077,0.0144
trivia_qa,qwen3-4b,trace_length,915,0.8259,0.8277,-0.0018,-0.0068,0.0027
trivia_qa,qwen3-4b,rep_5,915,0.8259,0.8112,0.0147,0.0039,0.0256
trivia_qa,qwen3-4b,hedging_formal,915,0.8259,0.8221,0.0038,-0.0026,0.0104
trivia_qa,qwen3-4b,hedging_reasoning,915,0.8259,0.8266,-0.0007,-0.0022,0.0007
trivia_qa,qwen3-4b,connector_density,915,0.8259,0.8254,0.0006,-0.0032,0.0043
trivia_qa,qwen3-4b,trace_divergence,915,0.8259,0.8104,0.0155,0.0051,0.0266
medqa,r1-distill-llama-8b,trace_length,792,0.6673,0.6542,0.0132,-0.0045,0.0304
medqa,r1-distill-llama-8b,rep_5,792,0.6673,0.6641,0.0033,-0.0051,0.0118
medqa,r1-distill-llama-8b,hedging_formal,792,0.6673,0.6509,0.0165,-0.0004,0.0329
medqa,r1-distill-llama-8b,hedging_reasoning,792,0.6673,0.6701,-0.0027,-0.0118,0.0058
medqa,r1-distill-llama-8b,connector_density,792,0.6673,0.6707,-0.0033,-0.0121,0.0057
medqa,r1-distill-llama-8b,trace_divergence,792,0.6673,0.6652,0.0021,-0.0049,0.0087
mmlu_pro,r1-distill-llama-8b,trace_length,599,0.7036,0.7019,0.0017,-0.0051,0.0083
mmlu_pro,r1-distill-llama-8b,rep_5,599,0.7036,0.6794,0.0242,0.0022,0.0444
mmlu_pro,r1-distill-llama-8b,hedging_formal,599,0.7036,0.6708,0.0328,0.0058,0.0596
mmlu_pro,r1-distill-llama-8b,hedging_reasoning,599,0.7036,0.6977,0.0059,-0.0054,0.0177
mmlu_pro,r1-distill-llama-8b,connector_density,599,0.7036,0.7068,-0.0033,-0.0077,0.0009
