dataset,model,n_greedy,n_paired,auroc_greedy,auroc_greedy_ci_low,auroc_greedy_ci_high,aurc_greedy,acc_at_80_greedy,auroc_sampled,auroc_sampled_ci_low,auroc_sampled_ci_high,aurc_sampled,acc_at_80_sampled,delta_auroc,delta_aurc,delta_acc_at_80,paired_median_delta_auroc,paired_ci_low,paired_ci_high,pct_resamples_sampled_wins
medqa,qwen3-4b,740,740,0.7331,0.6886,0.7751,0.1267,0.8226,0.7767,0.7383,0.8117,0.0976,0.8277,0.0436,-0.0291,0.0051,0.0434,0.0118,0.0724,99.9
mmlu_pro,qwen3-4b,730,730,0.8065,0.7708,0.8408,0.1037,0.8305,0.8175,0.7838,0.8488,0.0924,0.8305,0.011,-0.0113,0.0,0.0118,-0.011,0.0356,83.6
trivia_qa,qwen3-4b,915,915,0.7778,0.7462,0.8086,0.3058,0.5724,0.8266,0.8,0.8544,0.286,0.5861,0.0488,-0.0198,0.0137,0.0493,0.0257,0.0736,100.0
medqa,r1-distill-llama-8b,792,792,0.6357,0.5939,0.6735,0.3718,0.5726,0.6701,0.6322,0.7082,0.3324,0.5599,0.0344,-0.0394,-0.0127,0.0343,-0.0032,0.0717,96.1
mmlu_pro,r1-distill-llama-8b,599,599,0.6539,0.6091,0.6992,0.3951,0.5428,0.6977,0.6577,0.7398,0.3596,0.5678,0.0438,-0.0355,0.025,0.043,-0.0001,0.0864,97.4
trivia_qa,r1-distill-llama-8b,944,944,0.6691,0.6335,0.7049,0.4995,0.4344,0.7334,0.7013,0.7669,0.446,0.445,0.0643,-0.0535,0.0106,0.0642,0.0273,0.101,99.9
mmlu_pro,qwq-32b,657,657,0.6791,0.6065,0.7444,0.0578,0.924,0.7436,0.6785,0.8057,0.0403,0.9411,0.0645,-0.0175,0.0171,0.0654,0.0214,0.1097,99.7
trivia_qa,qwq-32b,956,956,0.6906,0.6521,0.728,0.186,0.7699,0.7587,0.7226,0.7962,0.1549,0.8105,0.0681,-0.0311,0.0406,0.0679,0.0374,0.1011,100.0
medqa,qwen3-4b-nothink,926,926,0.6065,0.5697,0.6434,0.2853,0.6721,0.6528,0.6183,0.6883,0.2428,0.6842,0.0463,-0.0425,0.0121,0.0449,0.0075,0.0823,98.6
mmlu_pro,qwen3-4b-nothink,908,908,0.6299,0.5913,0.6693,0.2754,0.7163,0.6909,0.6556,0.7262,0.2096,0.7107,0.061,-0.0658,-0.0056,0.0608,0.0252,0.0952,100.0
trivia_qa,qwen3-4b-nothink,989,989,0.6301,0.5965,0.6647,0.4965,0.464,0.7964,0.7672,0.8231,0.372,0.5032,0.1663,-0.1245,0.0392,0.1665,0.1327,0.2008,100.0
medqa,llama-3.1-8b-instruct,974,974,0.5734,0.5372,0.6143,0.2923,0.6675,0.6541,0.6163,0.687,0.2454,0.7047,0.0807,-0.0469,0.0372,0.0791,0.0375,0.1185,100.0
mmlu_pro,llama-3.1-8b-instruct,731,731,0.595,0.5564,0.6348,0.4008,0.5726,0.6562,0.6179,0.6938,0.3425,0.5846,0.0612,-0.0583,0.012,0.0619,0.0213,0.103,99.7
trivia_qa,llama-3.1-8b-instruct,818,818,0.5323,0.4888,0.5765,0.3836,0.6529,0.6478,0.608,0.6872,0.2994,0.6896,0.1155,-0.0842,0.0367,0.1159,0.0583,0.1708,100.0
