dataset,model,n,auroc,ci_low,ci_high,aurc,acc_at_80
medqa,qwen3-4b,740,0.7767,0.7383,0.8117,0.0976,0.8277
mmlu_pro,qwen3-4b,730,0.8175,0.7838,0.8488,0.0924,0.8305
trivia_qa,qwen3-4b,915,0.8266,0.8,0.8544,0.286,0.5861
medqa,r1-distill-llama-8b,792,0.6701,0.6322,0.7082,0.3324,0.5599
mmlu_pro,r1-distill-llama-8b,599,0.6977,0.6577,0.7398,0.3596,0.5678
trivia_qa,r1-distill-llama-8b,944,0.7334,0.7013,0.7669,0.446,0.445
mmlu_pro,qwq-32b,657,0.7436,0.6785,0.8057,0.0403,0.9411
trivia_qa,qwq-32b,956,0.7587,0.7226,0.7962,0.1549,0.8105
medqa,qwen3-4b-nothink,926,0.6528,0.6183,0.6883,0.2428,0.6842
mmlu_pro,qwen3-4b-nothink,908,0.6909,0.6556,0.7262,0.2096,0.7107
trivia_qa,qwen3-4b-nothink,989,0.7964,0.7672,0.8231,0.372,0.5032
medqa,llama-3.1-8b-instruct,974,0.6541,0.6163,0.687,0.2454,0.7047
mmlu_pro,llama-3.1-8b-instruct,731,0.6562,0.6179,0.6938,0.3425,0.5846
trivia_qa,llama-3.1-8b-instruct,818,0.6478,0.608,0.6872,0.2994,0.6896
