dataset,model,feature,n,auroc_full,auroc_without,delta_auroc,ci_low,ci_high
medqa,qwen3-4b,trace_length,740,0.7767,0.7781,-0.0014,-0.0096,0.0074
medqa,qwen3-4b,rep_5,740,0.7767,0.764,0.0127,-0.0004,0.0258
medqa,qwen3-4b,hedging_formal,740,0.7767,0.7615,0.0152,0.0015,0.0289
medqa,qwen3-4b,connector_density,740,0.7767,0.774,0.0027,-0.0022,0.0079
medqa,qwen3-4b,trace_divergence,740,0.7767,0.7772,-0.0005,-0.002,0.0011
mmlu_pro,qwen3-4b,trace_length,730,0.8175,0.8205,-0.003,-0.0065,0.0002
mmlu_pro,qwen3-4b,rep_5,730,0.8175,0.751,0.0664,0.0428,0.0921
mmlu_pro,qwen3-4b,hedging_formal,730,0.8175,0.8075,0.01,-0.0066,0.0259
mmlu_pro,qwen3-4b,connector_density,730,0.8175,0.8167,0.0007,-0.0028,0.004
mmlu_pro,qwen3-4b,trace_divergence,730,0.8175,0.8152,0.0023,-0.0082,0.0135
trivia_qa,qwen3-4b,trace_length,915,0.8266,0.8284,-0.0018,-0.0067,0.0023
trivia_qa,qwen3-4b,rep_5,915,0.8266,0.8122,0.0145,0.0033,0.0259
trivia_qa,qwen3-4b,hedging_formal,915,0.8266,0.822,0.0046,-0.0024,0.012
trivia_qa,qwen3-4b,connector_density,915,0.8266,0.8267,-0.0001,-0.0045,0.004
trivia_qa,qwen3-4b,trace_divergence,915,0.8266,0.811,0.0156,0.005,0.0278
medqa,r1-distill-llama-8b,trace_length,792,0.6701,0.658,0.012,-0.0037,0.0274
medqa,r1-distill-llama-8b,rep_5,792,0.6701,0.6706,-0.0006,-0.0069,0.0063
medqa,r1-distill-llama-8b,hedging_formal,792,0.6701,0.6583,0.0118,-0.0039,0.0268
medqa,r1-distill-llama-8b,connector_density,792,0.6701,0.6695,0.0006,-0.0106,0.0115
medqa,r1-distill-llama-8b,trace_divergence,792,0.6701,0.6695,0.0005,-0.0051,0.006
mmlu_pro,r1-distill-llama-8b,trace_length,599,0.6977,0.6994,-0.0017,-0.0068,0.0035
mmlu_pro,r1-distill-llama-8b,rep_5,599,0.6977,0.6729,0.0248,0.0031,0.045
mmlu_pro,r1-distill-llama-8b,hedging_formal,599,0.6977,0.6747,0.023,-0.0021,0.0459
mmlu_pro,r1-distill-llama-8b,connector_density,599,0.6977,0.6981,-0.0004,-0.0097,0.0091
mmlu_pro,r1-distill-llama-8b,trace_divergence,599,0.6977,0.6917,0.006,-0.0068,0.0188
trivia_qa,r1-distill-llama-8b,trace_length,944,0.7334,0.7272,0.0062,-0.0011,0.0141
trivia_qa,r1-distill-llama-8b,rep_5,944,0.7334,0.7368,-0.0033,-0.0076,0.0012
trivia_qa,r1-distill-llama-8b,hedging_formal,944,0.7334,0.734,-0.0005,-0.0069,0.006
trivia_qa,r1-distill-llama-8b,connector_density,944,0.7334,0.7353,-0.0018,-0.0042,0.0009
trivia_qa,r1-distill-llama-8b,trace_divergence,944,0.7334,0.6945,0.039,0.0149,0.0611
mmlu_pro,qwq-32b,trace_length,657,0.7436,0.745,-0.0013,-0.0051,0.0021
mmlu_pro,qwq-32b,rep_5,657,0.7436,0.6863,0.0573,0.0164,0.1021
mmlu_pro,qwq-32b,hedging_formal,657,0.7436,0.7091,0.0345,-0.0135,0.0847
mmlu_pro,qwq-32b,connector_density,657,0.7436,0.7512,-0.0076,-0.0192,0.0018
mmlu_pro,qwq-32b,trace_divergence,657,0.7436,0.7419,0.0018,-0.0177,0.0214
trivia_qa,qwq-32b,trace_length,956,0.7587,0.7586,0.0,-0.0024,0.0026
trivia_qa,qwq-32b,rep_5,956,0.7587,0.7586,0.0001,-0.0082,0.0075
trivia_qa,qwq-32b,hedging_formal,956,0.7587,0.7343,0.0243,0.005,0.0455
trivia_qa,qwq-32b,connector_density,956,0.7587,0.7545,0.0041,-0.0042,0.0117
trivia_qa,qwq-32b,trace_divergence,956,0.7587,0.739,0.0197,-0.0,0.0399
medqa,qwen3-4b-nothink,trace_length,926,0.6528,0.6377,0.0151,-0.0056,0.0359
medqa,qwen3-4b-nothink,rep_5,926,0.6528,0.6414,0.0114,-0.0021,0.026
medqa,qwen3-4b-nothink,hedging_formal,926,0.6528,0.6438,0.009,-0.0051,0.0239
medqa,qwen3-4b-nothink,connector_density,926,0.6528,0.6496,0.0032,-0.0069,0.014
medqa,qwen3-4b-nothink,trace_divergence,926,0.6528,0.6218,0.031,0.0064,0.0528
mmlu_pro,qwen3-4b-nothink,trace_length,908,0.6909,0.689,0.0019,-0.0088,0.0121
mmlu_pro,qwen3-4b-nothink,rep_5,908,0.6909,0.6842,0.0067,-0.0036,0.0179
mmlu_pro,qwen3-4b-nothink,hedging_formal,908,0.6909,0.664,0.0269,0.0074,0.0478
mmlu_pro,qwen3-4b-nothink,connector_density,908,0.6909,0.6899,0.001,-0.0066,0.0091
mmlu_pro,qwen3-4b-nothink,trace_divergence,908,0.6909,0.6644,0.0265,0.0066,0.0475
trivia_qa,qwen3-4b-nothink,trace_length,989,0.7964,0.7934,0.003,-0.0022,0.0083
trivia_qa,qwen3-4b-nothink,rep_5,989,0.7964,0.7981,-0.0017,-0.0041,0.0001
trivia_qa,qwen3-4b-nothink,hedging_formal,989,0.7964,0.797,-0.0006,-0.002,0.0006
trivia_qa,qwen3-4b-nothink,connector_density,989,0.7964,0.7981,-0.0017,-0.0036,-0.0
trivia_qa,qwen3-4b-nothink,trace_divergence,989,0.7964,0.6505,0.1459,0.1156,0.1775
medqa,llama-3.1-8b-instruct,trace_length,974,0.6541,0.6026,0.0515,0.0206,0.083
medqa,llama-3.1-8b-instruct,rep_5,974,0.6541,0.6556,-0.0015,-0.0065,0.0033
medqa,llama-3.1-8b-instruct,hedging_formal,974,0.6541,0.6475,0.0066,-0.0053,0.0194
medqa,llama-3.1-8b-instruct,connector_density,974,0.6541,0.6407,0.0135,-0.0028,0.0287
medqa,llama-3.1-8b-instruct,trace_divergence,974,0.6541,0.6292,0.0249,0.0015,0.0485
mmlu_pro,llama-3.1-8b-instruct,trace_length,731,0.6562,0.6428,0.0134,-0.0017,0.0273
mmlu_pro,llama-3.1-8b-instruct,rep_5,731,0.6562,0.6572,-0.001,-0.0045,0.0026
mmlu_pro,llama-3.1-8b-instruct,hedging_formal,731,0.6562,0.6273,0.029,0.0032,0.0568
mmlu_pro,llama-3.1-8b-instruct,connector_density,731,0.6562,0.6425,0.0138,-0.0045,0.0318
mmlu_pro,llama-3.1-8b-instruct,trace_divergence,731,0.6562,0.6353,0.0209,-0.0042,0.0471
trivia_qa,llama-3.1-8b-instruct,trace_length,818,0.6478,0.6357,0.0121,-0.0007,0.025
trivia_qa,llama-3.1-8b-instruct,rep_5,818,0.6478,0.6467,0.001,-0.004,0.006
trivia_qa,llama-3.1-8b-instruct,hedging_formal,818,0.6478,0.6496,-0.0018,-0.0101,0.0066
trivia_qa,llama-3.1-8b-instruct,connector_density,818,0.6478,0.6503,-0.0026,-0.0067,0.0019
trivia_qa,llama-3.1-8b-instruct,trace_divergence,818,0.6478,0.5905,0.0573,0.0141,0.098
