dataset,model,n_full_LR,n_paired_t31,se_orientation,auroc_full_LR,auroc_full_LR_ci_low,auroc_full_LR_ci_high,aurc_full_LR,acc_at_80_full_LR,auroc_trace_LR,auroc_trace_LR_ci_low,auroc_trace_LR_ci_high,aurc_trace_LR,acc_at_80_trace_LR,auroc_semantic_entropy,auroc_semantic_entropy_ci_low,auroc_semantic_entropy_ci_high,aurc_semantic_entropy,acc_at_80_semantic_entropy,delta_auroc_full_vs_trace,delta_auroc_full_vs_trace_ci_low,delta_auroc_full_vs_trace_ci_high,pct_resamples_full_beats_trace,delta_auroc_full_vs_SE,delta_auroc_full_vs_SE_ci_low,delta_auroc_full_vs_SE_ci_high,pct_resamples_full_beats_SE
medqa,qwen3-4b,740,740,-1,0.7912,0.7544,0.8262,0.0937,0.8361,0.7767,0.7383,0.8117,0.0976,0.8277,0.6828,0.6419,0.724,0.1675,0.8361,0.0148,0.0021,0.0288,98.7,0.1082,0.0776,0.1379,100.0
mmlu_pro,qwen3-4b,730,730,-1,0.8324,0.7987,0.864,0.088,0.8545,0.8175,0.7838,0.8488,0.0924,0.8305,0.7225,0.6793,0.7651,0.1716,0.8425,0.0149,0.0032,0.0271,99.6,0.1109,0.0767,0.142,100.0
trivia_qa,qwen3-4b,915,915,-1,0.8816,0.8605,0.9046,0.2428,0.6038,0.8266,0.8,0.8544,0.286,0.5861,0.8714,0.8498,0.8939,0.2613,0.6025,0.0541,0.0378,0.0726,100.0,0.0104,0.0012,0.02,98.8
medqa,r1-distill-llama-8b,792,792,-1,0.7087,0.6722,0.7467,0.3019,0.571,0.6701,0.6322,0.7082,0.3324,0.5599,0.6838,0.6476,0.7217,0.3293,0.5741,0.0387,0.0142,0.0619,99.9,0.0253,0.0052,0.0458,99.2
mmlu_pro,r1-distill-llama-8b,598,598,-1,0.7397,0.6995,0.7777,0.3209,0.5628,0.6977,0.6577,0.7398,0.3596,0.5678,0.7277,0.6866,0.7673,0.3326,0.5649,0.0434,0.0158,0.0719,100.0,0.0119,-0.0096,0.0311,86.7
trivia_qa,r1-distill-llama-8b,944,944,-1,0.8337,0.8091,0.8589,0.3731,0.4662,0.7334,0.7013,0.7669,0.446,0.445,0.8341,0.8079,0.8591,0.3847,0.4728,0.1005,0.0754,0.1279,100.0,-0.0003,-0.0063,0.006,46.5
mmlu_pro,qwq-32b,657,657,-1,0.749,0.6807,0.8107,0.0403,0.9411,0.7436,0.6785,0.8057,0.0403,0.9411,0.5957,0.5466,0.6489,0.0813,0.9278,0.0055,-0.0067,0.0204,79.2,0.1526,0.0943,0.2161,100.0
trivia_qa,qwq-32b,956,956,-1,0.8301,0.7964,0.8628,0.1197,0.834,0.7587,0.7226,0.7962,0.1549,0.8105,0.8074,0.775,0.8387,0.1381,0.8379,0.0717,0.0462,0.0965,100.0,0.0227,0.0058,0.0399,99.8
medqa,qwen3-4b-nothink,926,926,-1,0.7113,0.675,0.744,0.2137,0.691,0.6528,0.6183,0.6883,0.2428,0.6842,0.6959,0.6623,0.7278,0.2297,0.7018,0.0583,0.0311,0.0862,100.0,0.0151,-0.0007,0.032,96.3
mmlu_pro,qwen3-4b-nothink,908,908,-1,0.7839,0.7513,0.8151,0.1636,0.7479,0.6909,0.6556,0.7262,0.2096,0.7107,0.7613,0.7279,0.7939,0.2062,0.7438,0.0916,0.0642,0.1201,100.0,0.0226,0.0081,0.0367,100.0
trivia_qa,qwen3-4b-nothink,989,989,-1,0.8449,0.8211,0.8696,0.3581,0.5183,0.7964,0.7672,0.8231,0.372,0.5032,0.8432,0.8212,0.8654,0.3621,0.5171,0.0479,0.033,0.0649,100.0,0.0019,-0.0084,0.0118,64.3
medqa,llama-3.1-8b-instruct,974,974,-1,0.7834,0.7547,0.8109,0.1664,0.7202,0.6541,0.6163,0.687,0.2454,0.7047,0.7843,0.7562,0.8126,0.1708,0.7304,0.1292,0.0967,0.1612,100.0,-0.0011,-0.0096,0.007,39.6
mmlu_pro,llama-3.1-8b-instruct,731,731,-1,0.7854,0.7502,0.818,0.2487,0.6068,0.6562,0.6179,0.6938,0.3425,0.5846,0.7783,0.7419,0.8106,0.2577,0.6103,0.1279,0.0906,0.1649,100.0,0.0074,-0.0041,0.0185,90.3
trivia_qa,llama-3.1-8b-instruct,818,818,-1,0.7804,0.7489,0.8129,0.2177,0.7355,0.6478,0.608,0.6872,0.2994,0.6896,0.7913,0.7612,0.822,0.1944,0.7385,0.1323,0.0929,0.1709,100.0,-0.0112,-0.0181,-0.0038,0.0
