dataset,model,n,brier_trace_LR,brier_semantic_entropy_platt,nll_trace_LR,nll_semantic_entropy_platt,ece_trace_LR,ece_semantic_entropy_platt,delta_brier_SE_minus_trace,delta_brier_ci_low,delta_brier_ci_high,pct_resamples_trace_better_brier,delta_nll_SE_minus_trace,delta_nll_ci_low,delta_nll_ci_high,pct_resamples_trace_better_nll
medqa,qwen3-4b,740,0.155,0.1596,0.4702,0.4946,0.0551,0.0356,0.0046,-0.0058,0.0148,78.7,0.0241,-0.0026,0.0498,95.6
mmlu_pro,qwen3-4b,730,0.146,0.1465,0.4468,0.4657,0.0538,0.0125,0.0008,-0.0113,0.0134,54.6,0.02,-0.0132,0.051,88.0
trivia_qa,qwen3-4b,915,0.1672,0.1387,0.5162,0.4409,0.0496,0.0434,-0.0283,-0.04,-0.0177,0.0,-0.0742,-0.1039,-0.047,0.0
medqa,r1-distill-llama-8b,792,0.2282,0.2235,0.6474,0.638,0.0447,0.054,-0.0049,-0.015,0.0064,20.0,-0.0094,-0.0313,0.0147,22.1
mmlu_pro,r1-distill-llama-8b,598,0.2216,0.2126,0.6361,0.6151,0.0345,0.0364,-0.0093,-0.0238,0.0054,11.0,-0.0215,-0.056,0.0116,11.0
trivia_qa,r1-distill-llama-8b,944,0.1993,0.1602,0.5817,0.4839,0.0229,0.0353,-0.0391,-0.0496,-0.0288,0.0,-0.0976,-0.1244,-0.0725,0.0
mmlu_pro,qwq-32b,657,0.0807,0.0827,0.2832,0.2999,0.0162,0.0145,0.0019,-0.0036,0.0075,75.2,0.0165,-0.0029,0.0374,94.8
trivia_qa,qwq-32b,956,0.1565,0.1337,0.4859,0.4292,0.0246,0.0288,-0.0231,-0.032,-0.0134,0.0,-0.0573,-0.0802,-0.0316,0.0
medqa,qwen3-4b-nothink,926,0.2171,0.205,0.6224,0.598,0.0584,0.0343,-0.0122,-0.0217,-0.0018,1.2,-0.0247,-0.0465,-0.0026,1.9
mmlu_pro,qwen3-4b-nothink,908,0.2041,0.1784,0.5935,0.538,0.0344,0.0433,-0.0256,-0.0373,-0.0132,0.0,-0.0552,-0.0825,-0.0262,0.0
trivia_qa,qwen3-4b-nothink,989,0.1806,0.1516,0.5416,0.4613,0.0146,0.0256,-0.029,-0.0392,-0.0183,0.0,-0.0799,-0.1078,-0.053,0.0
medqa,llama-3.1-8b-instruct,974,0.2117,0.1776,0.6124,0.5299,0.0239,0.047,-0.0344,-0.0457,-0.0233,0.0,-0.0828,-0.1102,-0.0563,0.0
mmlu_pro,llama-3.1-8b-instruct,731,0.2303,0.191,0.6529,0.5674,0.0121,0.0436,-0.0388,-0.0539,-0.0238,0.0,-0.0848,-0.1188,-0.0493,0.0
trivia_qa,llama-3.1-8b-instruct,818,0.2158,0.1712,0.6255,0.5189,0.0427,0.034,-0.0445,-0.0569,-0.0321,0.0,-0.1064,-0.1362,-0.0779,0.0
